"email","interests","joinedOn"
"ujjavalkanwar@gmail.com",["asdasd|asd|as|d a|sd|a s|das||adas"],"2015-02-16T17:57:35.677Z"
"ujjavalkanwar@outlook.com",["asd|ads|12d|asd|asdw1|dasd"],"2015-02-16T17:57:55.354Z"
"asd@asdasdasd.asd",["asdasdasd"],"2015-02-17T12:01:32.630Z"
"asd@asdasd.asd.asd.asd",["asdasdasdad"],"2015-02-18T09:17:26.607Z"
"2asdasd@asd.asd",["asdadasasda"],"2015-02-18T12:50:41.929Z"
"asdasasadasasda@asd.asd",["asdasdasd"],"2015-02-18T12:51:59.169Z"
"ASd12asd@asd.asd",[""],"2015-02-18T12:56:21.890Z"
"asd@asdasdasdadasdasdasd.asd",["asdasdada|asd"],"2015-02-18T13:08:21.486Z"
"asdasdasda@asd1.asd",["asdasd|asdasdas|asdas"],"2015-02-18T13:12:53.132Z"
"asdasd@asdasd1.asd",["asdasdasd|asdasdas|asdasdasd|asd"],"2015-02-18T13:14:27.623Z"
"asd123@asd1.com",["asdasd|asd|ad|ad|asd|asd"],"2015-02-18T13:17:05.746Z"
"asdasd1@asdasd1.com",["asd|asd|asd|asd|asd|asd|asd|"],"2015-02-18T13:18:11.870Z"
"asdasd123124@asd.asd",["asd|asd|asd|asd"],"2015-02-18T13:22:08.665Z"
"zasd1245231@asd.asd",["asdasd|asd"],"2015-02-18T13:23:26.492Z"
"asd1213123123@asd.asd",["asdaasdasd|a"],"2015-02-18T13:24:25.857Z"
"asd21122321231@asd.asd",["asdasdasdasd"],"2015-02-18T13:25:04.182Z"
"asdf@asd.asd",["asd"],"2015-02-19T06:20:33.474Z"
